id,image_file,dataset_class,description_to_type,expected_label,predicted_label,confidence,mode,detected_item,quick_verdict,next_best_action,expected_focus,passed_expected_label,multimodal_summary,smart_reason
01,imagenes/01_botella_plastica_limpia.jpg,plastic,Botella de agua vacia y limpia.,plastic,plastic,0.9558,hybrid_keras_text_boost,Botella plastica de agua,"Botella plastica de agua: puede recuperarse si esta limpio, vacio y separado.",Confirma que este vacio y sin liquidos.,La app debe recomendar reciclaje de plastico/PET limpio sin que el usuario diga 'reciclar'.,True,"EcoSort reconocio la descripcion (plastico, pet, botella plastica, envase plastico) y la foto acompana esa decision.","Como indicas que esta vacio, EcoSort prioriza limpieza breve y reciclaje del material."
02,imagenes/02_envase_plastico_con_quimicos.jpg,plastic,Envase plastico que tenia cloro y aun huele fuerte.,plastic,plastic,0.7316,hybrid_keras_text_boost,Envase plastico,Envase plastico: maneja con cuidado y separa antes de entregar.,No mezcles este residuo con reciclaje comun si tuvo quimicos o esta danado.,"La app debe cambiar la recomendacion por riesgo quimico: limpiar, separar o punto limpio.",True,"EcoSort priorizo tu descripcion: plastico, envase plastico, envase plastico.","La descripcion menciona posible riesgo, asi que EcoSort prioriza manejo especial."
03,imagenes/03_pilas_control_antiguo.jpg,battery,"Pilas AA de un control antiguo, estan descargadas.",battery,battery,0.9986,hybrid_keras_text_boost,Pilas de control antiguo,Pilas de control antiguo: llevalo a punto limpio; no lo mezcles con basura comun.,"No la abras, aplastes ni perfores.",La app debe inferir punto limpio y bloquear reciclaje domestico.,True,"EcoSort priorizo tu descripcion: bateria, pila, pilas, aa.","La descripcion menciona posible riesgo, asi que EcoSort prioriza manejo especial."
04,imagenes/04_sobras_cena.jpg,biological,Residuos de la cena del dia anterior.,biological,biological,0.9149,hybrid_keras_text_boost,Sobras de comida,Sobras de comida: separalo para compost u organicos si tu ciudad lo permite.,"Retira plasticos, stickers, ligas o empaques.",La app debe inferir organicos/compost sin que el usuario escriba compost.,True,"EcoSort priorizo tu descripcion: organico, compost, comida, residuos de la cena.","La descripcion apunta a compostaje, asi que EcoSort prioriza convertir el residuo organico en abono."
05,imagenes/05_botella_cafe_vacia.jpg,brown-glass,"Botella cafe vacia, venia de una bebida.",brown-glass,brown-glass,0.7287,hybrid_keras_text_boost,Vidrio cafe,"Vidrio cafe: puede recuperarse si esta limpio, vacio y separado.",Confirma que este vacio y sin liquidos.,La app debe reconocer vidrio cafe y recomendar flujo de vidrio.,True,"EcoSort reconocio la descripcion (vidrio cafe, botella cafe, botella cafe vacia) y la foto acompana esa decision.","Como indicas que esta vacio, EcoSort prioriza limpieza breve y reciclaje del material."
06,imagenes/06_caja_jugo_vacia.jpg,cardboard,Caja de jugo vacia y seca.,cardboard,cardboard,0.9673,hybrid_keras_text_boost,Caja de carton,"Caja de carton: puede recuperarse si esta limpio, vacio y separado.",Aplasta la caja para ahorrar espacio.,La app debe inferir carton/tetrapak o empaque multicapa sin que el usuario diga tetrapak.,True,"EcoSort priorizo tu descripcion: carton, caja, tetrapak, caja de jugo.","EcoSort ajusto la recomendacion combinando categoria, descripcion y reglas de manejo."
07,imagenes/07_ropa_no_me_queda.jpg,clothes,"Ropa que ya no me queda, esta limpia.",clothes,clothes,0.7222,hybrid_keras_text_boost,Prenda para donar,"Prenda para donar: reusar, donar o reparar vale mas que botar.","Revisa que no tenga humedad, mal olor fuerte o contaminacion.",La app debe inferir donacion/reuso antes de botar.,True,"EcoSort reconocio la descripcion (ropa, prenda, ya no me queda, no me queda) y la foto acompana esa decision.",Tu descripcion sugiere que prenda para donar aun podria servir; por eso EcoSort prioriza donacion o reuso.
08,imagenes/08_botella_verde_vacia.jpg,green-glass,Botella verde vacia y limpia.,green-glass,green-glass,0.8154,hybrid_keras_text_boost,Botella verde,"Botella verde: puede recuperarse si esta limpio, vacio y separado.",Confirma que este vacio y sin liquidos.,La app debe reconocer vidrio verde y recomendar reciclaje de vidrio.,True,"EcoSort reconocio la descripcion (botella verde, botella verde vacia) y la foto acompana esa decision.","Como indicas que esta vacio, EcoSort prioriza limpieza breve y reciclaje del material."
09,imagenes/09_lata_jugo_vacia.jpg,metal,"Jugo en lata, esta vacia.",metal,metal,0.9736,hybrid_keras_text_boost,Lata de bebida,"Lata de bebida: puede recuperarse si esta limpio, vacio y separado.",Confirma que este vacio y sin liquidos.,La app debe clasificar metal/lata y recomendar limpieza o compactacion si aplica.,True,"EcoSort priorizo tu descripcion: lata, aluminio, jugo en lata, jugo en lata.","Como indicas que esta vacio, EcoSort prioriza limpieza breve y reciclaje del material."
10,imagenes/10_hojas_con_nombre.jpg,paper,Hojas de escuela escritas con mi nombre.,paper,paper,0.9848,hybrid_keras_text_boost,Hojas escolares escritas,"Hojas escolares escritas: puede recuperarse si esta limpio, vacio y separado.",Separa papeles limpios y secos.,La app debe sugerir proteger datos personales antes de reciclar.,True,"EcoSort priorizo tu descripcion: hojas, escuela, escritas, hojas con nombre.","Como podria contener datos personales, EcoSort recomienda romper o tachar informacion sensible."
11,imagenes/11_zapatos_suela_despegada.jpg,shoes,Zapatos usados con la suela despegada.,shoes,shoes,0.9393,hybrid_keras_text_boost,Zapatos,"Zapatos: puede recuperarse si esta limpio, vacio y separado.","Identifica si el dano es reparable: costura, cierre, boton, suela o pegado.",La app debe inferir reparacion o reciclaje especializado de calzado.,True,"EcoSort priorizo tu descripcion: zapatos, suela.","La descripcion sugiere reparacion posible, asi que conviene intentar arreglar antes de desechar."
12,imagenes/12_panales_limpios.jpg,trash,"Panales de mi hijo, estan limpios.",trash,trash,0.9544,hybrid_keras_text_boost,Panal sanitario,"Panal sanitario: cierre seguro y basura comun; no va a donar, compost ni reciclaje.",No lo abras ni lo mezcles con reciclaje.,"La app debe inferir residuo sanitario y bloquear compost, donacion y reciclaje.",True,"EcoSort priorizo tu descripcion: basura, panal, panales, basura comun.","La descripcion menciona un residuo sanitario; EcoSort bloquea donacion, compost y reciclaje seco."
13,imagenes/13_frasco_transparente_vacio.jpg,white-glass,Frasco transparente vacio y limpio.,white-glass,white-glass,0.9314,hybrid_keras_text_boost,Frasco de vidrio transparente,"Frasco de vidrio transparente: puede recuperarse si esta limpio, vacio y separado.",Confirma que este vacio y sin liquidos.,La app debe reconocer vidrio transparente y sugerir reuso o reciclaje de vidrio.,True,"EcoSort priorizo tu descripcion: frasco, frasco transparente.","Como indicas que esta vacio, EcoSort prioriza limpieza breve y reciclaje del material."
